,Call_Number,Title
0,BF173-175:Psychoanalysis,complex archetype symbol in the psychology of c g jung jung c g carl gustav 18751961 psychoanalysis
1,BF1562-1584:Witchcraft,hexen und dämonenglaube im lande braunschweig die geschichte einer verfolgung unter regionalem aspekt witchcraft germany braunschweig region demonology germany braunschweig region
2,BF65-172:Psychology,qualitative strategies for ethnocultural research psychology qualitative research ethnology methodology qualitative research
3,BF636-637:Applied psychology,the art of persuading people by james a worsham selling psychology applied
4,BF173-175:Psychoanalysis,trauma and organizations associations institutions etc stress psychology social groups leadership corporate culture organizational change psychic trauma group psychoanalysis psychotherapy group psychotherapy
5,BF65-172:Psychology,three psychologies perspectives from freud skinner and rogers freud sigmund 18561939 skinner b f burrhus frederic 19041990 rogers carl r carl ransom 19021987 psychoanalysis behaviorism psychology humanistic psychology
6,BF712-724:Developmental psychology,understanding infancy infant psychology
7,BF712-724:Developmental psychology,underachievement syndrome causes and cures underachievers
8,BF1585-1623:Magic. Hermetics. Necromancy,robert fludd and the end of the renaissance fludd robert 15741637 renaissance england england intellectual life 17th century occultism england history 17th century hermetism history 17th century
9,BF210-230:Psychology,behavioral electronics inc behavioral electronics inc electronic behavior control case studies new business enterprises united states case studies
10,BF712-724:Developmental psychology,the long shadow of temperament temperament in children longitudinal studies inhibition in children longitudinal studies temperament longitudinal studies inhibition longitudinal studies nature and nurture longitudinal studies
11,BF840-885:Physiognomy. Phrenology,memory and intellectual improvement applied to selfeducation and juvenile instruction phrenology memory
12,BF699-711:Genetic Psychology,the development of mind genetic psychology
13,BF698:Personality,the cult of personality how personality tests are leading us to miseducate our children mismanage our companies and misunderstand ourselves personality tests united states personality tests for children united states employees psychological testing united states
14,BF199-202:Psychology,dualism the original sin of cognitivism cognitive psychology philosophy dualism history
15,BF712-724:Developmental psychology,the beginnings of social understanding social perception in children social interaction in children families
16,BF309-499:Consciousness. Congition,hope despair how perceptions of the future shape human behavior expectation psychology hope mind and body emotions cognition thinking
17,BF309-499:Consciousness. Congition,framework for a general theory of cognition and choice by robert m axelrod cognition choice psychology
18,BF712-724:Developmental psychology,making human beings human bioecological perspectives on human development developmental psychology environmental psychology nature and nurture
19,BF309-499:Consciousness. Congition,predictability correlation and continuity conditioned response reinforcement psychology animals food
20,BF309-499:Consciousness. Congition,hommes supérieurs hommes inférieurs la controverse sur lhérédité de lintelligence intellect genetic aspects nature and nurture
22,BF176:Pyshological tests and testing,functional psychological testing principles and instruments psychological tests
23,BF636-637:Applied psychology,there are no dragons out there the miracle of you and what you can become success awareness ability incentive psychology
24,BF1-37:Psychology,the effects of power across gender authority control psychology men women
25,BF173-175:Psychoanalysis,sex death and the superego experiences in psychoanalysis psychoanalysis sex psychology ego psychology death psychological aspects hysteria narcissism
26,BF1562-1584:Witchcraft,geschichte der hexenprozesse holocaust und massenpsychose vom 1618jahrhundert witchcraft germany history trials witchcraft germany history
27,BF608-635:Will. Volition. Choice. Control,the rape of the mind the psychology of thought control menticide and brainwashing brainwashing
28,BF608-635:Will. Volition. Choice. Control,attention and selfregulation a controltheory approach to human behavior human behavior control psychology attention selfperception feedback psychology behaviorism psychology
29,BF173-175:Psychoanalysis,critique des raisons psychanalytiques psychoanalysis and philosophy psychoanalysis and literature
30,BF1562-1584:Witchcraft,the devils disciples makers of the salem witchcraft trials trials witchcraft massachusetts salem witchcraft massachusetts salem history 17th century salem mass social conditions
31,BF712-724:Developmental psychology,getting along with others teaching social effectiveness to children social skills in children study and teaching social interaction in children study and teaching
32,BF210-230:Psychology,using the whole brain integrating the right and left brain with hemisync sound patterns electronic behavior control brain localization of functions control psychology brain stimulation
33,BF173-175:Psychoanalysis,freud freud sigmund 18561939 psychoanalysis
34,BF173-175:Psychoanalysis,génealogie de la psychanalyse le commencement perdu psychoanalysis history
35,BF65-172:Psychology,contemporary psychology and effective behavior psychology adjustment psychology
36,BF712-724:Developmental psychology,lifespan development concepts theories and interventions developmental psychology
37,BF699-711:Genetic Psychology,the mantle of maturity a history of ideas about character development maturation psychology history ethics history developmental psychology history
38,BF309-499:Consciousness. Congition,7 kinds of smart identifying and developing your many intelligences ability intellect typology psychology
39,BF698:Personality,personality theory measurement and research personality
40,BF309-499:Consciousness. Congition,frames of mind the theory of multiple intelligences intellect
41,BF309-499:Consciousness. Congition,working memory shortterm memory
43,BF697:Differential psychology. Individuality. Self,the singular self an introduction to the psychology of personhood self
44,BF309-499:Consciousness. Congition,cognitive styles and learning strategies understanding style differences in learning and behaviour cognitive styles learning strategies learning psychology of
45,BF1228-1389:Spiritualism,man whence how and whither a record of clairvoyant investigation clairvoyance theosophy reincarnation
46,BF309-499:Consciousness. Congition,creating minds an anatomy of creativity seen through the lives of freud einstein picasso stravinsky eliot graham and gandhi creative ability case studies gifted persons biography
47,BF309-499:Consciousness. Congition,assessment of children children intelligence testing ability testing intelligence tests
48,BF636-637:Applied psychology,selfactualization theory and technology selfactualization psychology
49,BF309-499:Consciousness. Congition,the neuropsychology of consciousness consciousness neuropsychology
50,BF65-172:Psychology,versuch über den zusammenhang der thierischen natur des menschen mit seiner geistigen eine abhandlung welche in höchster gegenwart sr herzoglichen durchlaucht während den öffentlichen akademischen prüfungen vertheidigen wird psychology early works to 1800
51,BF309-499:Consciousness. Congition,probing understanding comprehension testing educational psychology
52,BF173-175:Psychoanalysis,psychoanalysis in its cultural context freud sigmund 18561939 psychoanalysis austria history austria civilization book reviews
53,BF309-499:Consciousness. Congition,the psychology of judgment and decision making decision making judgment
54,"BF638-648:New Thought. Menticulture, etc.",quiet talks on power by s d gordon christian life
55,BF231-299:Sensation. Aesthesiology,motor learning principles and practices motor learning
57,BF309-499:Consciousness. Congition,mechanisms of cognitive development cognition developmental psychology
58,BF309-499:Consciousness. Congition,memory and awareness an informationprocessing perspective memory awareness human information processing
59,BF207-209:Psychotropic drugs and other substances,a primer of behavioral pharmacology concepts and principles in the behavioral analysis of drug action psychopharmacology research behavioral assessment
60,BF712-724:Developmental psychology,vulnerability and resilience in human development a festschrift for ann and alan clarke clarke ann m ann margaret clarke a d b alan douglas benson people with mental disabilities developmental psychology child development
62,BF636-637:Applied psychology,interplay the process of interpersonal communication interpersonal communication
63,BF636-637:Applied psychology,genderspeak men women and the gentle art of verbal selfdefense verbal selfdefense sex differences psychology verbal communication
65,BF1585-1623:Magic. Hermetics. Necromancy,magie et illusion au moyen âge literature medieval history and criticism congresses french literature history and criticism congresses magic in literature congresses
66,BF38-64:Philosophy,the skills of negotiating negotiation
67,BF692:Psychology of Sex. Sexual Behavior,der mensch und sein weib frauen und männerbilder geschichtliche ursprünge und perspektiven sex role history
69,BF1404-1443:Occult sciences,the wordsworth dictionary of the occult occultism dictionaries occultism
70,BF712-724:Developmental psychology,original kin the search for connection among adult sisters and brothers sibling rivalry brothers and sisters adulthood psychological aspects
71,BF1-37:Psychology,dimensions of value in moral cognition cognition perception conduct of life values ethics
73,BF712-724:Developmental psychology,the adolescent brain learning reasoning and decision making adolescent psychology cognition in adolescence
74,BF697:Differential psychology. Individuality. Self,beyond the conscious mind unlocking the secrets of the self self selfperception schemas psychology left and right psychology thought and thinking
75,BF511-593:Affection. Feeling. Emotion,the culture of shame shame guilt
76,BF309-499:Consciousness. Congition,clinical applications of learning theory learning psychology of psychoses neuroses mental illness
77,BF1745-1779:Oracles. Sibyls. Diviniations,fengshui in china geomantic divination between state orthodoxy and popular religion feng shui china history
78,BF309-499:Consciousness. Congition,dna and destiny nature and nurture in human behavior nature and nurture individual differences behavior genetics genetic psychology
79,BF636-637:Applied psychology,drunk tank pink and other unexpected forces that shape how we think feel and behave psychology applied environmental psychology
80,BF173-175:Psychoanalysis,conundrums a critique of contemporary psychoanalysis psychoanalysis united states psychoanalysis
81,BF1892-2049:Occult sciences,infinite potential what quantum physics reveals about how we should live spiritual life quantum theory miscellanea quantum theory psychological aspects
82,BF692:Psychology of Sex. Sexual Behavior,global masculinities and manhood masculinity crosscultural studies masculinity
83,BF511-593:Affection. Feeling. Emotion,the happiness agenda a modern obsession happiness happiness united states
84,BF65-172:Psychology,psychologie et spiritualité à la recherche dune interface spirituality psychological aspects mind and body psychology and religion spiritual life experience religion consciousness yoga
85,BF636-637:Applied psychology,race culture and counselling crosscultural counseling great britain psychotherapy great britain
86,BF38-64:Philosophy,handbook of psychological assessment psychometrics psychological tests
87,BF511-593:Affection. Feeling. Emotion,faces of fear fear
88,BF173-175:Psychoanalysis,studies on femininity femininity sex psychology gender identity life change events mothers psychology women psychology
89,BF309-499:Consciousness. Congition,memory fragments of a modern history memory recollection psychology memory research history recollection psychology research history psychology experimental history truth
90,BF65-172:Psychology,research methods and statistics for psychology psychology research methodology psychology statistical methods
91,BF309-499:Consciousness. Congition,the neuroscience of attention attentional control and selection attention selectivity psychology cognitive neuroscience visual perception
92,BF309-499:Consciousness. Congition,thought a very short introduction thought and thinking
93,BF636-637:Applied psychology,new understanding our need for novelty and change change psychology new and old psychological aspects risktaking psychology
94,BF173-175:Psychoanalysis,unrepresented states and the construction of meaning clinical and theoretical contributions representation psychoanalysis
95,BF309-499:Consciousness. Congition,evolving the mind on the nature of matter and the origin of consciousness consciousness intellect mind and body
96,BF38-64:Philosophy,mind in science a history of explanations in psychology and physics psychology philosophy science philosophy physics philosophy psychology history science history
97,BF173-175:Psychoanalysis,radical claims in freudian psychoanalysis point freud sigmund 18561939 psychoanalysis
98,BF173-175:Psychoanalysis,scared sick the role of childhood trauma in adult disease psychic trauma
99,BF712-724:Developmental psychology,situations matter understanding how context transforms your world context effects psychology decision making
100,BF309-499:Consciousness. Congition,social metacognition metacognition social psychology
101,BF1585-1623:Magic. Hermetics. Necromancy,the greek magical papyri in translation including the demotic spells magic greek early works to 1800 magic egyptian early works to 1800 incantations early works to 1800 charms early works to 1800
102,BF309-499:Consciousness. Congition,social judgment and decision making judgment social aspects decision making social psychology knowledge sociology of
103,BF65-172:Psychology,disseminating lacan lacan jacques 19011981
104,BF65-172:Psychology,ethical challenges in the behavioral and brain sciences case studies and commentaries psychology moral and ethical aspects
105,BF1783-1815:Seers. Prophets. Prophecies,history fulfilling prophecy covering a number of subjects pertaining thereto bible prophecies prophecies
106,BF65-172:Psychology,future visions the unpublished papers of abraham maslow none
107,BF511-593:Affection. Feeling. Emotion,stress and stress management research and applications stress psychology
108,BF231-299:Sensation. Aesthesiology,molyneuxs problem three centuries of discussion on the perception of forms visual perception history molyneux william 16561698 form perception history touch history
109,BF65-172:Psychology,reading seminars i and ii lacans return to freud seminar i freuds papers on technique seminar ii the ego in freuds theory and in the technique of psychoanalysis lacan jacques 19011981 psychoanalysis
110,BF1585-1623:Magic. Hermetics. Necromancy,making magic religion magic and science in the modern world magic magic religious aspects magic social aspects
111,BF309-499:Consciousness. Congition,how to think creatively none
112,BF698:Personality,ecology of the body styles of behavior in human life typology psychology personality somatotypes
113,BF309-499:Consciousness. Congition,conceptualizing our interpersonal impressions mental representations and internal objects mental representation attachment behavior object relations psychoanalysis
114,BF309-499:Consciousness. Congition,the longterm retention of knowledge and skills a cognitive and instructional perspective memory learning psychology of
115,BF1501-1561:Demonology. Satanism. Possession,amulets and superstitions amulets talismans magic superstition
116,BF65-172:Psychology,master builders of modern psychology from freud to skinner psychology history 20th century psychology history 19th century behaviorism psychology history
117,BF309-499:Consciousness. Congition,the foundation of the unconscious schelling freud and the birth of the modern psyche subconsciousness psychoanalysis history schelling friedrich wilhelm joseph von 17751854 freud sigmund 18561939
118,BF173-175:Psychoanalysis,freudian repression the unconscious and the dynamics of inhibition repression psychology
119,BF199-202:Psychology,harmony perspective and triadic cognition cognitive psychology consciousness
120,BF309-499:Consciousness. Congition,memory and aging current issues and future directions memory age factors aging
121,BF699-711:Genetic Psychology,bittersweet destiny the stormy evolution of human behavior genetic psychology behavior evolution human behavior
122,BF309-499:Consciousness. Congition,psikhologii͡a literaturnogo tvorchestva creation literary artistic etc
123,BF309-499:Consciousness. Congition,territorios escrituras y destinos de la memoria diálogo interdisciplinario abierto collective memory human rights
124,BF309-499:Consciousness. Congition,race et intelligence intellect intelligence levels nature and nurture ethnopsychology
125,BF309-499:Consciousness. Congition,patterns of adjustment adjustment psychology stress psychology psychology pathological psychotherapy
126,BF309-499:Consciousness. Congition,intersensory perception and sensory integration perception intersensory effects
127,BF65-172:Psychology,modern perspectives on john b watson and classical behaviorism watson john b john broadus 18781958 behaviorism psychology
128,BF698:Personality,the first idea how symbols language and intelligence evolved from our primate ancestors to modern humans evolutionary psychology
129,BF608-635:Will. Volition. Choice. Control,the psychology of control control psychology
130,BF309-499:Consciousness. Congition,thinking the expanding frontier proceedings of the international interdisciplinary conference on thinking held at the university of the south pacific january 1982 bateson gregory 19041980 congresses thought and thinking congresses cognition and culture congresses
131,BF712-724:Developmental psychology,the reflective professional in education psychological perspectives on changing contexts child psychology adolescent psychology school psychology
132,BF1783-1815:Seers. Prophets. Prophecies,die enthüllung der zukunft prophetie prognose planung von babylon bis wall street prophecies occultism history
133,BF65-172:Psychology,the survival of images art historians psychoanalysts and the ancients psychology history 20th century psychoanalysis and culture history 20th century art modern 20th century
134,BF173-175:Psychoanalysis,frūyd ḥayātuhu wataḥlīluhu alnafs ī freud sigmund 18561939 psychoanalysts austria biography psychoanalysis
135,BF65-172:Psychology,between losing and finding the life of an analyst plaut fred psychoanalysts biography
