ID,Title,Call_Number
0,advances in descriptive psychology official annual publication of the society for descriptive psychology,BF1-37:Psychology
1,advances in descriptive psychology official annual publication of the society for descriptive psychology,BF1-37:Psychology
2,advances in descriptive psychology official annual publication of the society for descriptive psychology,BF1-37:Psychology
3,advances in descriptive psychology official annual publication of the society for descriptive psychology,BF1-37:Psychology
4,duke university psychological monographs,BF1-37:Psychology
5,authors guide to journals in psychology psychiatry social work,BF1-37:Psychology
6,authors guide to journals in psychology psychiatry social work,BF1-37:Psychology
7,psycbooks books chapters in psychology,BF1-37:Psychology
8,psycbooks books chapters in psychology,BF1-37:Psychology
9,psycbooks books chapters in psychology,BF1-37:Psychology
10,psycbooks books chapters in psychology,BF1-37:Psychology
11,psycbooks books chapters in psychology,BF1-37:Psychology
12,the psychological review monograph supplement,BF1-37:Psychology
13,the psychological review series of monograph supplements,BF1-37:Psychology
14,the psychological review monograph supplements,BF1-37:Psychology
15,the psychological review psychological monographs,BF1-37:Psychology
16,the use of modified block designs in the evaluation and training of the braininjured,BF1-37:Psychology
17,prejudice and racial identity among white latterday saint college students an exploratory study,BF1-37:Psychology
18,psychology survey,BF1-37:Psychology
19,psychology survey,BF1-37:Psychology
20,psychology survey,BF1-37:Psychology
21,psychology survey,BF1-37:Psychology
22,psychology survey,BF1-37:Psychology
23,single and multiple solution fiveletter words by ronald olson and ronald schwartz,BF1-37:Psychology
24,spring,BF1-37:Psychology
25,spring,BF1-37:Psychology
26,spring,BF1-37:Psychology
27,spring,BF1-37:Psychology
28,spring,BF1-37:Psychology
29,spring,BF1-37:Psychology
30,spring,BF1-37:Psychology
31,spring,BF1-37:Psychology
32,spring,BF1-37:Psychology
33,liste mondiale des périodiques spécialisés psychologie world list of specialized periodicals psychology,BF1-37:Psychology
34,serials in psychology and allied fields,BF1-37:Psychology
35,searching image in carrion crows hunting strategy in a predator and some antipredator devices in camouflaged prey with 44 fig 2 colour photographs and 17 tables,BF1-37:Psychology
36,bibliographie der deutschsprachigen psychologischen literatur,BF1-37:Psychology
37,bibliographie der deutschsprachigen psychologischen literatur,BF1-37:Psychology
38,bylaws and list of officers and members of the american psychological association incorporated,BF1-37:Psychology
39,yearbook american psychological association,BF1-37:Psychology
40,directory american psychological association,BF1-37:Psychology
41,biographical directory of the american psychological association,BF1-37:Psychology
42,directory of the american psychological association,BF1-37:Psychology
43,bylaws and list of officers and members of the american psychological association incorporated,BF1-37:Psychology
44,bylaws and list of officers and members of the american psychological association incorporated,BF1-37:Psychology
45,bylaws and list of officers and members of the american psychological association incorporated,BF1-37:Psychology
46,bylaws and list of officers and members of the american psychological association incorporated,BF1-37:Psychology
47,yearbook american psychological association,BF1-37:Psychology
48,yearbook american psychological association,BF1-37:Psychology
49,directory american psychological association,BF1-37:Psychology
50,directory american psychological association,BF1-37:Psychology
51,directory american psychological association,BF1-37:Psychology
52,directory american psychological association,BF1-37:Psychology
53,directory american psychological association,BF1-37:Psychology
54,directory american psychological association,BF1-37:Psychology
55,directory american psychological association,BF1-37:Psychology
56,directory american psychological association,BF1-37:Psychology
57,directory american psychological association,BF1-37:Psychology
58,directory american psychological association,BF1-37:Psychology
59,directory american psychological association,BF1-37:Psychology
60,biographical directory of the american psychological association,BF1-37:Psychology
61,biographical directory of the american psychological association,BF1-37:Psychology
62,biographical directory of the american psychological association,BF1-37:Psychology
63,directory of the american psychological association,BF1-37:Psychology
64,directory of the american psychological association,BF1-37:Psychology
65,directory of the american psychological association,BF1-37:Psychology
66,directory of the american psychological association,BF1-37:Psychology
67,the american psychological association a historical perspective,BF1-37:Psychology
68,a history of the division of psychoanalysis of the american psychological association,BF1-37:Psychology
69,history of the international union of psychological science iupsys,BF1-37:Psychology
70,unification through division histories of the divisions of the american psychological association,BF1-37:Psychology
71,unification through division histories of the divisions of the american psychological association,BF1-37:Psychology
72,blackwell handbook of childhood social development,BF1-37:Psychology
73,blackwell handbook of childhood social development,BF1-37:Psychology
74,blackwell handbook of childhood social development,BF1-37:Psychology
75,lacan and the matter of origins,BF1-37:Psychology
76,selecting members for group therapy a validation study of the group selection questionnaire,BF1-37:Psychology
77,individual differences as a factor in the effects of distributed practice in verbal learning,BF1-37:Psychology
78,perceptual defense in selfactualized and nonselfactualized college students,BF1-37:Psychology
79,a developmental form sequence integrating directionality eye scanning and color factors,BF1-37:Psychology
